"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SQBG","Sequential Brands Group, Inc.","4.05","253023191.1","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/sqbg",
"MCRB","Seres Therapeutics, Inc.","9.56","385800998.68","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mcrb",
"SREV","ServiceSource International, Inc.","5.83","506825534.82","n/a","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/srev",
"SFBS","ServisFirst Bancshares, Inc.","41.87","2203906835.52","n/a","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/sfbs",
"SEV","Sevcon, Inc.","13.88","74146862.84","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/sev",
"SVBI","Severn Bancorp Inc","7.2","87151528.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/svbi",
"SGOC","SGOCO Group, Ltd","3.675","34500635.4","n/a","2010","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sgoc",
"SMED","Sharps Compliance Corp","4.62","73859279.34","n/a","n/a","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/smed",
"SHSP","SharpSpring, Inc.","5.08","42461053","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/shsp",
"SHEN","Shenandoah Telecommunications Co","29","1418546745","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/shen",
"SHLO","Shiloh Industries, Inc.","14.69","261697002.84","n/a","1993","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/shlo",
"TYHT","Shineco, Inc.","3.82","80350155.04","n/a","2016","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/tyht",
"SHPG","Shire plc","181.08","14751361507.32","81463229","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/shpg",
"SCVL","Shoe Carnival, Inc.","25.32","466455801","n/a","1993","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/scvl",
"SHBI","Shore Bancshares Inc","17.32","219354284.04","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/shbi",
"SHOR","ShoreTel, Inc.","6.85","467136441.85","n/a","2007","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/shor",
"SFLY","Shutterfly, Inc.","48.06","1617246009.72","n/a","2006","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/sfly",
"SIFI","SI Financial Group, Inc.","15","183151560","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/sifi",
"SIEB","Siebert Financial Corp.","2.72","60082003.84","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/sieb",
"SIEN","Sientra, Inc.","9.05","168278025.85","n/a","2014","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/sien",
"BSRR","Sierra Bancorp","28.48","392357254.72","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bsrr",
"SRRA","Sierra Oncology, Inc.","1.42","43121024.98","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/srra",
"SWIR","Sierra Wireless, Inc.","27.8","885706888","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/swir",
"SIFY","Sify Technologies Limited","0.9427","23659201.1425","25097275","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/sify",
"SIGM","Sigma Designs, Inc.","6.5","245840120.5","n/a","1986","Technology","Semiconductors","http://www.nasdaq.com/symbol/sigm",
"SGLB","Sigma Labs, Inc.","3.61","11312978.29","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sglb",
"SGLBW","Sigma Labs, Inc.","1.25","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sglbw",
"SGMA","SigmaTron International, Inc.","4.3597","18253248.6361","n/a","1994","Technology","Electrical Products","http://www.nasdaq.com/symbol/sgma",
"SBNY","Signature Bank","159.3","8699400081","n/a","2004","Finance","Major Banks","http://www.nasdaq.com/symbol/sbny",
"SBNYW","Signature Bank","120","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbnyw",
"SLGN","Silgan Holdings Inc.","60.2","3314079711.6","n/a","1997","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/slgn",
"SILC","Silicom Ltd","36.05","264843596.15","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/silc",
"SLAB","Silicon Laboratories, Inc.","72.05","3018231491.55","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/slab",
"SIMO","Silicon Motion Technology Corporation","41.85","1474786006.65","35239809","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/simo",
"SPIL","Siliconware Precision Industries Company, Ltd.","7.85","296599627.2","37783392","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/spil",
"SSRI","Silver Standard Resources Inc.","11.29","1348046265.55","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ssri",
"SAMG","Silvercrest Asset Management Group Inc.","14.15","183108075","n/a","2013","Finance","Investment Managers","http://www.nasdaq.com/symbol/samg",
"SFNC","Simmons First National Corporation","60.15","1885034594.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sfnc",
"SLP","Simulations Plus, Inc.","10.1","174031059.8","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/slp",
"SINA","Sina Corporation","75.62","5360033924.16","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/sina",
"SBGI","Sinclair Broadcast Group, Inc.","36.5","3308155271.5","n/a","1995","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/sbgi",
"SINO","Sino-Global Shipping America, Ltd.","3.13","26152824.55","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/sino",
"SVA","Sinovac Biotech, Ltd.","5.65","321522069.65","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sva",
"SIRI","Sirius XM Holdings Inc.","4.94","23292892222.86","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/siri",
"SITO","SITO Mobile, Ltd.","2.29","47359597.63","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/sito",
"SKYS","Sky Solar Holdings, Ltd.","2.25","31250864.25","13889273","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/skys",
"SKLN","Skyline Medical Inc.","2.12","13386587.36","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/skln",
"SPU","SkyPeople Fruit Juice, Inc.","6.02","24447761.8","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/spu",
"SKYW","SkyWest, Inc.","35.7","1847179546.8","n/a","1986","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/skyw",
"SWKS","Skyworks Solutions, Inc.","96.35","17816883600.6","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/swks",
"SLM","SLM Corporation","12.23","5245447000","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/slm",
"SLMAP","SLM Corporation","51.25","169125000","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/slmap",
"SLMBP","SLM Corporation","66","264000000","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/slmbp",
"SND","Smart Sand, Inc.","18.84","736949396.4","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/snd",
